Date,Min_Temp,Max_Temp,Rainfall
01-02-1990,4.6,31.4,44.1
01-03-1990,2.3,28.7,35.5
01-04-1990,-0.1,25.4,47.3
01-05-1990,-1.9,22.1,51.9
01-06-1990,-4.7,20.3,48.9
01-07-1990,-4.9,18.2,59.5
01-08-1990,-3.7,19.7,59.7
01-09-1990,-2.3,22.3,40.5
01-10-1990,-0.7,25.0,53.6
01-11-1990,0.1,27.2,42.8
01-12-1990,3.7,29.8,46.8
01-01-1990,5.0,31.0,39.4
01-02-2020,3.3,32.9,19.0
01-03-2020,2.8,30.4,24.0
01-04-2020,0.4,27.6,62.8
01-05-2020,-2.1,21.2,33.0
01-06-2020,-5.0,17.6,82.4
01-07-2020,-4.2,20.2,82.0
01-08-2020,-4.4,18.3,44.2
01-09-2020,-4.2,23.5,54.0
01-10-2020,-3.0,22.6,62.0
01-11-2020,0.8,31.4,45.6
01-12-2020,4.4,27.4,34.8
01-01-2020,3.7,31.9,3.2
01-02-2021,2.6,35.6,23.0
01-03-2021,-1.3,30.8,58.4
01-04-2021,-1.1,25.2,13.4
01-05-2021,-2.6,24.4,31.8
01-06-2021,-5.3,21.5,101.6
01-07-2021,-4.3,17.4,70.6
01-08-2021,-4.9,22.2,11.4
01-09-2021,-4.8,24.8,40.4
01-10-2021,0.3,29.1,29.2
01-11-2021,2.6,28.3,71.8
01-12-2021,3.2,31.5,62.2
01-01-2021,6.1,37.1,41.2
